nms,dataset,var,time,stat
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_22,2023-04-01T00:00:00Z,mean
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_22,2023-04-01T00:00:00Z,sd
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_23,2023-05-01T00:00:00Z,mean
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_23,2023-05-01T00:00:00Z,sd
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_24,2023-06-01T00:00:00Z,mean
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_24,2023-06-01T00:00:00Z,sd
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_25,2023-07-01T00:00:00Z,mean
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_25,2023-07-01T00:00:00Z,sd
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_26,2023-08-01T00:00:00Z,mean
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_26,2023-08-01T00:00:00Z,sd
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_27,2023-09-01T00:00:00Z,mean
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_27,2023-09-01T00:00:00Z,sd
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_28,2023-10-01T00:00:00Z,mean
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_28,2023-10-01T00:00:00Z,sd
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_29,2023-11-01T00:00:00Z,mean
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_29,2023-11-01T00:00:00Z,sd
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_30,2023-12-01T00:00:00Z,mean
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_30,2023-12-01T00:00:00Z,sd
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_31,2024-01-01T00:00:00Z,mean
FKNMS,cmems_mod_glo_phy_myint_0.083deg_P1M-m,thetao_depth=0.49402499_31,2024-01-01T00:00:00Z,sd
